"table","kind","column","file"
"productos","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"empleados","select","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","select","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","select","nombres","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","select","apellidos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","select","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","nombre","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","activo","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","nombres","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","apellidos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","tipo_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","numero_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","email","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","telefono","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","fecha_nacimiento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","fecha_ingreso","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","id_departamento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","puesto","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","estado","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","select","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","nombres","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","apellidos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","tipo_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","numero_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","fecha_ingreso","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","estado","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","nombres","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","apellidos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","tipo_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","numero_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","fecha_ingreso","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","estado","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","nombres","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","apellidos","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","tipo_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","numero_documento","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","fecha_ingreso","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","estado","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","tenant_id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","nombre","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","ruc","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","pais","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","insert","activo","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
"empleados","filter","id","apps\erp-api\tests\e2e\rrhh-e2e.test.ts"
